,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,CUMULATIVE_RECOVERED,ACTIVE_CASES,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,NEW_RECOVERED
0,2020-03-26,Registro,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,Registro,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-28,Registro,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-29,Registro,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-30,Registro,0,0,0,0,0,0,0,0,0,0,0
5,2020-03-31,Registro,0,0,0,0,0,0,0,0,0,0,0
6,2020-04-01,Registro,0,0,0,0,0,0,0,0,0,0,0
7,2020-04-02,Registro,0,0,0,0,0,0,0,0,0,0,0
8,2020-04-03,Registro,0,0,0,0,0,0,0,0,0,0,0
9,2020-04-04,Registro,0,0,0,0,0,0,0,0,0,0,0
10,2020-04-05,Registro,0,0,0,0,0,0,0,0,0,0,0
11,2020-04-06,Registro,0,0,0,0,0,0,0,0,0,0,0
12,2020-04-07,Registro,0,0,0,0,0,0,0,0,0,0,0
13,2020-04-08,Registro,0,0,0,0,0,0,0,0,0,0,0
14,2020-04-09,Registro,0,0,0,0,0,0,0,0,0,0,0
15,2020-04-10,Registro,0,0,0,0,0,0,0,0,0,0,0
16,2020-04-11,Registro,0,0,0,0,0,0,0,0,0,0,0
17,2020-04-12,Registro,0,0,0,0,0,0,0,0,0,0,0
18,2020-04-13,Registro,0,1,0,0,0,1,0,0,0,0,1
19,2020-04-14,Registro,0,1,0,0,0,1,0,0,0,0,0
20,2020-04-15,Registro,0,1,0,0,0,1,0,0,0,0,0
21,2020-04-16,Registro,1,2,1,1,0,1,0,0,0,0,0
22,2020-04-17,Registro,3,5,0,1,0,4,0,0,0,0,3
23,2020-04-18,Registro,3,8,0,1,0,7,0,0,0,0,3
24,2020-04-19,Registro,0,8,0,1,0,7,0,0,0,0,0
25,2020-04-20,Registro,0,8,0,1,0,7,0,0,0,0,0
26,2020-04-21,Registro,0,8,0,1,0,7,0,0,0,0,0
27,2020-04-22,Registro,3,11,0,1,0,10,0,0,0,0,3
28,2020-04-23,Registro,2,13,0,1,0,12,0,0,0,0,2
29,2020-04-24,Registro,1,14,0,1,0,13,0,0,0,0,1
30,2020-04-25,Registro,2,16,2,3,0,13,0,0,0,0,0
31,2020-04-26,Registro,0,16,0,3,0,13,0,0,0,0,0
32,2020-04-27,Registro,0,16,0,3,0,13,0,0,0,0,0
33,2020-04-28,Registro,4,20,0,3,0,17,0,0,0,0,4
34,2020-04-29,Registro,0,20,0,3,0,17,0,0,0,0,0
35,2020-04-30,Registro,4,24,1,4,1,19,0,0,0,0,2
36,2020-05-01,Registro,0,24,0,4,1,19,0,0,0,0,0
37,2020-05-02,Registro,0,24,0,4,1,19,0,0,0,0,0
38,2020-05-03,Registro,0,24,0,4,1,19,0,0,0,0,0
39,2020-05-04,Registro,1,25,0,4,4,17,0,0,0,0,-2
40,2020-05-05,Registro,5,30,0,4,7,19,0,0,0,0,2
41,2020-05-06,Registro,0,30,0,4,7,19,0,0,0,0,0
42,2020-05-07,Registro,0,30,0,4,7,19,0,0,0,0,0
43,2020-05-08,Registro,0,30,0,4,7,19,0,0,0,0,0
44,2020-05-09,Registro,10,40,0,4,10,26,0,0,0,0,7
45,2020-05-10,Registro,0,40,0,4,12,24,0,0,0,0,-2
46,2020-05-11,Registro,8,48,0,4,13,31,0,0,0,0,7
47,2020-05-12,Registro,4,52,0,4,13,35,0,0,0,0,4
48,2020-05-13,Registro,0,52,0,4,13,35,0,0,0,0,0
49,2020-05-14,Registro,1,53,0,4,13,36,0,0,0,0,1
50,2020-05-15,Registro,0,53,0,4,17,32,0,0,0,0,-4
51,2020-05-16,Registro,0,53,0,4,17,32,0,0,0,0,0
52,2020-05-17,Registro,0,53,0,4,20,29,0,0,0,0,-3
53,2020-05-18,Registro,0,53,0,4,20,29,0,0,0,0,0
54,2020-05-19,Registro,33,86,0,4,20,62,0,0,0,0,33
55,2020-05-20,Registro,3,89,1,5,20,64,0,0,0,0,2
56,2020-05-21,Registro,22,111,0,5,21,85,0,0,0,0,21
57,2020-05-22,Registro,16,127,0,5,26,96,0,0,0,0,11
58,2020-05-23,Registro,9,136,0,5,26,105,0,0,0,0,9
59,2020-05-24,Registro,2,138,0,5,26,107,0,0,0,0,2
60,2020-05-25,Registro,0,138,0,5,26,107,0,0,0,0,0
61,2020-05-26,Registro,0,138,0,5,36,97,0,0,0,0,-10
62,2020-05-27,Registro,8,146,0,5,36,105,0,0,0,0,8
63,2020-05-28,Registro,3,149,0,5,44,100,0,0,0,0,-5
64,2020-05-29,Registro,11,160,0,5,48,107,0,0,0,0,7
65,2020-05-30,Registro,2,162,0,5,48,109,0,0,0,0,2
